#Time, x, y, z
22.491,135,125,-14.0488284835
22.5288,135,125,-14.0479971747
22.5666,135,125,-14.0471572571
22.6044,135,125,-14.0463088875
22.6422,135,125,-14.045452202
22.68,135,125,-14.0445873578
22.7178,135,125,-14.0437145143
22.7556,135,125,-14.0428338106
22.7934,135,125,-14.0419453991
22.8312,135,125,-14.0410494425
22.869,135,125,-14.0401461016
22.9068,135,125,-14.0392355405
22.9446,135,125,-14.0383179223
22.9824,135,125,-14.0373934036
23.0202,135,125,-14.0364621416
23.058,135,125,-14.0355242947
23.0958,135,125,-14.0345800215
23.1336,135,125,-14.0336294845
23.1714,135,125,-14.0326728534
23.2092,135,125,-14.0317103007
23.247,135,125,-14.0307419983
23.2848,135,125,-14.0297681131
23.3226,135,125,-14.0287888143
23.3604,135,125,-14.0278042758
23.3982,135,125,-14.0268146712
23.436,135,125,-14.0258201741
23.4738,135,125,-14.0248209611
23.5116,135,125,-14.0238172088
23.5494,135,125,-14.0228090942
23.5872,135,125,-14.0217967933
23.625,135,125,-14.0207804823
23.6628,135,125,-14.0197603329
23.7006,135,125,-14.0187365195
23.7384,135,125,-14.0177092227
23.7762,135,125,-14.0166786234
23.814,135,125,-14.0156449006
23.8518,135,125,-14.0146082328
23.8896,135,125,-14.0135688043
23.9274,135,125,-14.0125268058
23.9652,135,125,-14.0114824094
24.003,135,125,-14.0104357783
24.0408,135,125,-14.0093871038
24.0786,135,125,-14.0083365754
24.1164,135,125,-14.0072843585
24.1542,135,125,-14.0062306278
24.192,135,125,-14.0051755687
24.2298,135,125,-14.0041193577
24.2676,135,125,-14.0030621622
24.3054,135,125,-14.0020041502
24.3432,135,125,-14.0009454939
24.381,135,125,-13.9998863709
24.4188,135,125,-13.9988269605
24.4566,135,125,-13.9977674371
24.4944,135,125,-13.9967079722
24.5322,135,125,-13.9956487402
24.57,135,125,-13.9945899159
24.6078,135,125,-13.993531672
24.6456,135,125,-13.9924741791
24.6834,135,125,-13.9914176056
24.7212,135,125,-13.9903621201
24.759,135,125,-13.9893078909
24.7968,135,125,-13.9882550842
24.8346,135,125,-13.9872038606
24.8724,135,125,-13.9861543792
24.9102,135,125,-13.9851068072
24.948,135,125,-13.9840613141
24.9858,135,125,-13.9830180629
25.0236,135,125,-13.9819772108
25.0614,135,125,-13.980938918
25.0992,135,125,-13.9799033481
25.137,135,125,-13.9788706599
25.1748,135,125,-13.9778410026
25.2126,135,125,-13.9768145233
25.2504,135,125,-13.9757913785
25.2882,135,125,-13.9747717412
25.326,135,125,-13.9737557556
25.3638,135,125,-13.9727435523
25.4016,135,125,-13.9717352811
25.4394,135,125,-13.970731093
25.4772,135,125,-13.9697311445
25.515,135,125,-13.9687355811
25.5528,135,125,-13.9677445361
25.5906,135,125,-13.9667581419
25.6284,135,125,-13.965776536
25.6662,135,125,-13.9647998555
25.704,135,125,-13.9638282362
25.7418,135,125,-13.9628618145
25.7796,135,125,-13.9619007265
25.8174,135,125,-13.9609451079
25.8552,135,125,-13.9599950904
25.893,135,125,-13.9590508009
25.9308,135,125,-13.9581123634
25.9686,135,125,-13.9571798999
26.0064,135,125,-13.9562535317
26.0442,135,125,-13.9553333795
26.082,135,125,-13.9544195638
26.1198,135,125,-13.9535122041
26.1576,135,125,-13.9526114193
26.1954,135,125,-13.951717326
26.2332,135,125,-13.9508300375
26.271,135,125,-13.949949665
26.3088,135,125,-13.9490763263
26.3466,135,125,-13.9482101408
26.3844,135,125,-13.9473512076
26.4222,135,125,-13.9464996277
26.46,135,125,-13.9456555177
26.4978,135,125,-13.9448189813
26.5356,135,125,-13.943990116
26.5734,135,125,-13.9431690248
26.6112,135,125,-13.9423558071
26.649,135,125,-13.9415505598
26.6868,135,125,-13.9407533785
26.7246,135,125,-13.939964355
26.7624,135,125,-13.9391835815
26.8002,135,125,-13.9384111561
26.838,135,125,-13.9376471763
26.8758,135,125,-13.9368917341
26.9136,135,125,-13.9361449192
26.9514,135,125,-13.9354068233
26.9892,135,125,-13.9346775385
27.027,135,125,-13.9339571545
27.0648,135,125,-13.9332457585
27.1026,135,125,-13.9325434384
27.1404,135,125,-13.9318502847
27.1782,135,125,-13.9311663858
27.216,135,125,-13.9304918261
27.2538,135,125,-13.9298266891
27.2916,135,125,-13.9291710591
27.3294,135,125,-13.9285250177
27.3672,135,125,-13.9278886429
27.405,135,125,-13.9272620147
27.4428,135,125,-13.9266452133
27.4806,135,125,-13.9260383219
